Grouping,Species Name (Common),Scientific Name,Lead FWS Regional Office,Proposed FWS Decision Timeframe (Fiscal Year),Range
Reptiles,short-tailed snake,Stilosoma extenuatum (Lampropeltis extenuata),Region 4 - Southeast,2022,FL
Reptiles,Rim Rock crowned snake,Tantilla oolitica,Region 4 - Southeast,2020,FL
Snails,Puget Oregonian snail,Cryptomastix devia,Region 1 - Pacific (Northwest),2020,"OR, WA"
Snails,Columbia Oregonian snail,Cryptomastix hendersoni,Region 1 - Pacific (Northwest),2022,"OR, WA"
Snails,evening fieldslug,Deroceras hesperium,Region 1 - Pacific (Northwest),2022,"OR, WA"
Snails,spider elimia (snail),Elimia arachnoidea,Region 5 - Northeast,2022,"TN, VA"
Snails,Mojave shoulderband snail,Helminthoglypta greggi,Region 8 - Pacific Southwest,2017,CA
Snails,Burrington (keeled) jumping-slug,Hemphillia burringtoni,Region 1 - Pacific (Northwest),2021,"OR, WA"
Snails,Arkansas mudalia,Leptoxis arkansensis,Region 4 - Southeast,2018,"AR, MO"
Snails,Dalles sideband snail,Monadenia fidelis minor,Region 1 - Pacific (Northwest),2021,"OR, WA"
Snails,Chelan mountain snail,Oreohelix n. sp. 1,Region 1 - Pacific (Northwest),2023,WA
Snails,mimic cavesnail,Phreatodrobia imitata,Region 2 - Southwest,2021,TX
Snails,magnificent ramshorn,Planorbella magnifica,Region 4 - Southeast,2019,NC
Snails,Moapa pebblesnail,Pyrgulopsis avernalis,Region 8 - Pacific Southwest,2017,NV
Snails,flag pyrg,Pyrgulopsis breviloba,Region 8 - Pacific Southwest,2017,NV
Snails,Moapa Valley pyrg,Pyrgulopsis carinifera,Region 8 - Pacific Southwest,2017,NV
Snails,Beaver Pond marstonia,Pyrgulopsis castor,Region 4 - Southeast,2017,GA
Snails,Blue Point pyrg,Pyrgulopsis coloradensis,Region 8 - Pacific Southwest,2017,NV
Snails,Crystal springsnail,Pyrgulopsis crystalis,Region 8 - Pacific Southwest,2020,NV
Snails,Spring Mountains pyrg,Pyrgulopsis deaconi,Region 8 - Pacific Southwest,2017,NV
Snails,Ash Meadows pebblesnail,Pyrgulopsis erythropoma,Region 8 - Pacific Southwest,2020,NV
Snails,Fairbanks springsnail,Pyrgulopsis fairbanksensis,Region 8 - Pacific Southwest,2020,NV
Snails,Corn Creek pyrg,Pyrgulopsis fausta,Region 8 - Pacific Southwest,2017,NV
Snails,Hubbs pyrg,Pyrgulopsis hubbsi,Region 8 - Pacific Southwest,2017,NV
Snails,elongate-gland springsnail,Pyrgulopsis isolata,Region 8 - Pacific Southwest,2020,NV
Snails,Butterfield pyrg,Pyrgulopsis lata,Region 8 - Pacific Southwest,2017,NV
Snails,Hardy pyrg,Pyrgulopsis marcida,Region 8 - Pacific Southwest,2017,NV
Snails,Pahranagat pebblesnail,Pyrgulopsis merriami,Region 8 - Pacific Southwest,2017,NV
Snails,distal-gland springsnail,Pyrgulopsis nanus,Region 8 - Pacific Southwest,2020,NV
Snails,bifid duct pyrg,Pyrgulopsis peculiaris,Region 8 - Pacific Southwest,2017,"NV, UT"
Snails,White River Valley pyrg,Pyrgulopsis sathos,Region 8 - Pacific Southwest,2017,NV
Snails,Lake Valley pyrg,Pyrgulopsis sublata,Region 8 - Pacific Southwest,2017,NV
Snails,San Xavier talussnail,Sonorella eremita,Region 2 - Southwest,2020,AZ
Snails,Pinaleno talussnail,Sonorella grahamensis,Region 2 - Southwest,2020,AZ
Snails,Wet Canyon talussnail,Sonorella macrophallus,Region 2 - Southwest,2020,AZ
Snails,Shasta chaparral,Trilobopsis roperi,Region 8 - Pacific Southwest,2023,CA
Snails,sportinggoods tryonia,Tryonia angulata,Region 8 - Pacific Southwest,2020,NV
Snails,grated tryonia,Tryonia clathrata,Region 8 - Pacific Southwest,2017,NV
Snails,Point of Rocks tryonia,Tryonia elata,Region 8 - Pacific Southwest,2020,NV
Snails,minute tryonia,Tryonia ericae,Region 8 - Pacific Southwest,2020,NV
Snails,Quitobaquito tryonia,Tryonia quitobaquitae,Region 2 - Southwest,2020,AZ
Snails,Amargosa tryonia,Tryonia variegata,Region 8 - Pacific Southwest,2020,"CA, NV"
Snails,Hoko vertigo,Vertigo sp.,Region 1 - Pacific (Northwest),2023,WA
Snails,Big Bar hesperian,Vespericola pressleyi,Region 8 - Pacific Southwest,2023,CA
Snails,Shasta hesperian,Vespericola shasta,Region 8 - Pacific Southwest,2023,CA
